Date,Date Value,High,Low,Open,Close,Volume,Adj Close
9/23/2019,43731,2.980000019,2.710000038,2.980000019,2.720000029,40356100,2.720000029
9/24/2019,43732,2.24000001,1.970000029,2.220000029,2.170000076,122194400,2.170000076
9/25/2019,43733,2.150000095,2.019999981,2.150000095,2.049999952,38938700,2.049999952
9/26/2019,43734,2.059999943,1.899999976,2.049999952,1.960000038,50967800,1.960000038
9/27/2019,43735,2,1.710000038,1.940000057,1.75,59824600,1.75
9/30/2019,43738,1.730000019,1.529999971,1.720000029,1.559999943,58815600,1.559999943
10/1/2019,43739,1.50999999,1.220000029,1.50999999,1.320000052,88123600,1.320000052
10/2/2019,43740,1.649999976,1.190000057,1.190000057,1.590000033,98992700,1.590000033
10/3/2019,43741,1.700000048,1.429999948,1.590000033,1.639999986,58630100,1.639999986
10/4/2019,43742,1.690000057,1.559999943,1.600000024,1.620000005,25240300,1.620000005
10/7/2019,43745,1.590000033,1.450000048,1.580000043,1.549999952,26893500,1.549999952
10/8/2019,43746,1.799999952,1.659999967,1.730000019,1.700000048,47085000,1.700000048
10/9/2019,43747,1.75999999,1.580000043,1.75,1.639999986,35848200,1.639999986
10/10/2019,43748,1.639999986,1.5,1.639999986,1.529999971,33950800,1.529999971
10/11/2019,43749,1.590000033,1.5,1.549999952,1.559999943,25648800,1.559999943
10/14/2019,43752,1.570000052,1.519999981,1.559999943,1.529999971,12534600,1.529999971
10/15/2019,43753,1.639999986,1.539999962,1.629999995,1.549999952,25901200,1.549999952
10/16/2019,43754,1.519999981,1.399999976,1.460000038,1.460000038,40687000,1.460000038
10/17/2019,43755,1.5,1.419999957,1.460000038,1.460000038,18373300,1.460000038
10/18/2019,43756,1.549999952,1.440000057,1.450000048,1.519999981,21393400,1.519999981
10/21/2019,43759,1.769999981,1.49000001,1.519999981,1.690000057,40155200,1.690000057
10/22/2019,43760,1.769999981,1.519999981,1.700000048,1.580000043,38944000,1.580000043
10/23/2019,43761,1.600000024,1.519999981,1.580000043,1.529999971,12246400,1.529999971
10/24/2019,43762,1.600000024,1.529999971,1.570000052,1.539999962,21567700,1.539999962
10/25/2019,43763,1.559999943,1.5,1.539999962,1.50999999,20444900,1.50999999
10/28/2019,43766,1.5,1.379999995,1.429999948,1.480000019,32675500,1.480000019
10/29/2019,43767,1.450000048,1.389999986,1.450000048,1.389999986,22312000,1.389999986
10/30/2019,43768,1.450000048,1.360000014,1.419999957,1.429999948,20769100,1.429999948
10/31/2019,43769,1.539999962,1.440000057,1.470000029,1.450000048,22381000,1.450000048
11/1/2019,43770,1.549999952,1.49000001,1.49000001,1.519999981,17957200,1.519999981
11/4/2019,43773,1.899999976,1.580000043,1.649999976,1.710000038,61083000,1.710000038
11/5/2019,43774,2.380000114,1.799999952,1.879999995,2.339999914,183556700,2.339999914
11/6/2019,43775,2.460000038,1.960000038,2.460000038,2.029999971,113933700,2.029999971
11/7/2019,43776,2.200000048,2.049999952,2.109999895,2.069999933,39411800,2.069999933
11/8/2019,43777,2.130000114,1.940000057,2.130000114,1.980000019,38341600,1.980000019
11/11/2019,43780,1.960000038,1.779999971,1.899999976,1.860000014,34228400,1.860000014
11/12/2019,43781,2.049999952,1.830000043,1.899999976,1.940000057,27818000,1.940000057
11/13/2019,43782,1.99000001,1.850000024,1.899999976,1.899999976,24969400,1.899999976
11/14/2019,43783,1.889999986,1.659999967,1.860000014,1.75,46683200,1.75
11/15/2019,43784,1.840000033,1.659999967,1.75,1.799999952,32003800,1.799999952
11/18/2019,43787,1.899999976,1.730000019,1.879999995,1.799999952,25996000,1.799999952
11/19/2019,43788,1.889999986,1.779999971,1.779999971,1.830000043,26780800,1.830000043
11/20/2019,43789,1.870000005,1.769999981,1.850000024,1.840000033,20728500,1.840000033
11/21/2019,43790,2.039999962,1.820000052,1.870000005,1.980000019,41394200,1.980000019
11/22/2019,43791,2.049999952,1.879999995,2.039999962,1.940000057,25152300,1.940000057
11/25/2019,43794,2.119999886,1.960000038,1.99000001,2.049999952,36836400,2.049999952
11/26/2019,43795,2.289999962,2.119999886,2.119999886,2.279999971,55122700,2.279999971
11/27/2019,43796,2.5,2.279999971,2.319999933,2.460000038,77368600,2.460000038
11/29/2019,43798,2.359999895,2.200000048,2.359999895,2.269999981,32640300,2.269999981
12/2/2019,43801,2.440000057,2.299999952,2.349999905,2.440000057,32677500,2.440000057
12/3/2019,43802,2.480000019,2.25,2.309999943,2.400000095,37865200,2.400000095
12/4/2019,43803,2.579999924,2.410000086,2.420000076,2.420000076,46792900,2.420000076
12/5/2019,43804,2.569999933,2.25,2.529999971,2.269999981,53235200,2.269999981
12/6/2019,43805,2.339999914,2.200000048,2.319999933,2.25999999,31931900,2.25999999
12/9/2019,43808,2.25,2.109999895,2.210000038,2.220000029,31542900,2.220000029
12/10/2019,43809,2.279999971,2.140000105,2.200000048,2.269999981,25220200,2.269999981
12/11/2019,43810,2.319999933,2.230000019,2.25999999,2.25999999,20342900,2.25999999
12/12/2019,43811,2.329999924,2.25999999,2.299999952,2.269999981,22457900,2.269999981
12/13/2019,43812,2.430000067,2.289999962,2.309999943,2.390000105,37228900,2.390000105
12/16/2019,43815,2.549999952,2.390000105,2.440000057,2.480000019,36916800,2.480000019
12/17/2019,43816,2.630000114,2.5,2.539999962,2.589999914,45654500,2.589999914
12/18/2019,43817,2.670000076,2.539999962,2.579999924,2.630000114,31811100,2.630000114
